OBJECTID,Node,NODE_1,DATETAKEN,ON_ST,FRM_ST,TO_ST,CLASS,Dir1,Count1,Dir2,Count2,TotalVolume,Shape_STLength__,ShapeSTLength
99,160,160,2016-09-22T07:00:00.000Z,NB Price Rd,Southern,Baseline,Arterial,North Bound,11650,Null,0,11650,5526.5934817,5526.59348170124
100,95,95,2018-01-10T07:00:00.000Z,Baseline Rd,McClintock,Price,Arterial,East Bound,16541,West Bound,18116,34657,4775.95965583,4775.959655834
101,96,96,2017-03-14T07:00:00.000Z,McClintock Dr,Superstition,Baseline,Arterial,North Bound,18163,South Bound,16801,34964,2480.02633327,2480.02633326776
102,97,97,2018-01-10T07:00:00.000Z,Baseline Rd,Rural,McClintock,Arterial,East Bound,16602,West Bound,15485,32087,5919.73699776,5919.73699776105
103,98,98,2018-01-11T07:00:00.000Z,Lakeshore Dr,Rural,Baseline,Collector,Southeast,2732,Northwest,2671,5403,2622.07258902,2622.07258902081
104,99,99,2018-01-16T07:00:00.000Z,Rural Rd,Superstition,Baseline,Arterial,North Bound,20281,South Bound,18872,39153,2613.53870949,2613.53870948707
105,100,100,2018-01-10T07:00:00.000Z,Baseline Rd,Mill,Rural,Arterial,East Bound,15037,West Bound,14975,30012,3262.25914511,3262.25914510859
106,101,101,2016-10-13T07:00:00.000Z,College Ave,Superstition,Baseline,Collector,North Bound,694,South Bound,688,1382,2051.37704808,2051.37704807566
107,102,102,2016-10-13T07:00:00.000Z,Mill Ave,Superstition,Baseline,Arterial,North Bound,11047,South Bound,13163,24210,2503.52099542,2503.52099541548
108,103,103,2016-10-06T07:00:00.000Z,Kyrene Rd,Southern,Baseline,Arterial,North Bound,2729,South Bound,2615,5344,5327.81619511,5327.81619510907
109,104,104,2018-01-10T07:00:00.000Z,Baseline Rd,Hardy,Mill,Arterial,East Bound,16234,West Bound,18550,34793,4017.78787742,4017.78787742245
110,105,105,2016-11-15T07:00:00.000Z,Hardy Dr,Southern,Baseline,Collector,North Bound,5283,South Bound,6764,12047,5367.84356058,5367.84356057803
111,106,106,2018-01-09T07:00:00.000Z,Baseline Rd,Priest,Hardy,Arterial,East Bound,15843,West Bound,17173,33016,3248.77511999,3248.77511999133
112,107,107,2018-01-10T07:00:00.000Z,Baseline Rd,I-10,Priest,Arterial,East Bound,20438,West Bound,26980,53578,1281.96052856,1281.9605285568
113,108,108,2018-01-10T07:00:00.000Z,Baseline Rd,48th,I-10,Arterial,East Bound,27578,West Bound,26403,53981,2985.57628127,2985.57628127062
114,109,109,2016-10-06T07:00:00.000Z,Priest Dr,Baseline,Highline Canal,Arterial,North Bound,7818,South Bound,8194,16012,946.04177524,946.041775240552
115,110,110,2016-11-15T07:00:00.000Z,Hardy Dr,Baseline,Guadalupe,Collector,North Bound,5069,South Bound,5818,10887,5444.47562491,5444.47562490793
